Crude birth rate (births per 1,000 population)
Country;1950-1955;1955-1960;1960-1965;1965-1970;1970-1975;1975-1980;1980-1985;1985-1990;1990-1995;1995-2000;2000-2005;2005-2010;2010-2015
Burundi;49,4;48,3;48,2;47,8;47,2;49,8;51,1;51,7;48,2;43,6;41,9;43,6;43,3
Comoros;45,0;47,6;47,2;46,1;45,2;45,4;46,0;44,2;40,8;38,3;36,9;35,8;34,4
Djibouti;41,0;42,8;44,2;44,9;44,8;42,0;40,8;40,0;38,9;33,2;30,1;26,4;24,3
Eritrea;47,5;48,8;48,3;47,3;46,0;45,2;45,1;43,6;39,4;35,2;35,9;36,8;34,3
Ethiopia;49,3;47,8;48,0;47,6;48,6;48,5;49,3;48,3;46,7;45,5;41,4;36,4;33,6
Kenya;51,2;51,5;51,0;50,6;50,8;49,9;48,4;45,1;40,2;40,3;39,0;37,0;33,1
Madagascar;49,1;49,0;48,4;48,1;47,9;47,2;45,2;44,4;44,1;42,8;39,5;36,5;34,1
Malawi;49,8;51,0;52,6;53,7;53,6;53,4;52,4;51,3;47,2;45,3;43,4;42,4;38,1
Mauritius;43,5;43,1;43,8;33,2;26,8;26,5;20,3;21,0;20,4;17,9;16,0;13,3;11,1
Mayotte;41,2;42,8;44,9;46,6;47,8;49,4;47,1;44,4;36,1;36,1;36,5;36,4;31,7
Mozambique;51,1;50,6;49,2;48,2;48,4;47,5;46,8;45,4;45,9;45,4;44,4;42,5;40,4
Réunion;49,6;45,0;43,0;36,5;26,8;23,5;23,4;24,2;22,0;20,3;19,7;17,9;16,6
Rwanda;53,8;53,6;50,7;49,3;51,1;53,4;53,1;49,7;44,8;41,8;38,6;36,9;33,5
Seychelles;39,2;37,5;38,5;36,4;33,3;29,3;26,7;24,3;22,1;19,0;19,2;18,9;17,7
Somalia;48,9;48,0;47,4;47,0;46,0;44,2;44,4;47,0;49,5;50,1;47,5;46,2;44,4
South Sudan;47,7;50,1;51,3;51,4;50,1;48,8;47,5;47,9;46,6;44,6;41,5;39,4;37,3
Uganda;51,3;50,0;49,3;49,0;48,7;48,9;49,3;49,7;50,1;49,3;48,3;46,4;43,9
United Republic of Tanzania;49,0;49,3;49,1;48,7;47,9;47,4;46,0;44,9;43,3;42,1;42,2;42,1;39,8
Zambia;48,2;49,3;50,3;49,5;49,5;48,4;46,7;45,6;45,0;45,1;44,2;41,6;39,3
