Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Afghanistan,2014,Female,Not applicable,Number,4451
Afghanistan,2014,All genders,Not applicable,Number,24315
Afghanistan,2009,All genders,Not applicable,Number,9623
Afghanistan,2009,Female,Not applicable,Number,1851
Afghanistan,2008,Female,Not applicable,Number,1552
Afghanistan,2008,All genders,Not applicable,Number,9270
Afghanistan,2007,All genders,Not applicable,Number,6858
Afghanistan,2007,Female,Not applicable,Number,1574
Afghanistan,2006,Female,Not applicable,Number,1524
Afghanistan,2006,All genders,Not applicable,Number,6310
Albania,2014,Female,Not applicable,Number,19200
Albania,2014,All genders,Not applicable,Number,29191
Albania,2013,All genders,Not applicable,Number,30365
Albania,2013,Female,Not applicable,Number,19724
Albania,2011,Female,Not applicable,Number,14599
Albania,2011,All genders,Not applicable,Number,23046
Albania,2010,All genders,Not applicable,Number,22358
Albania,2010,Female,Not applicable,Number,14415
Albania,2009,Female,Not applicable,Number,10550
Albania,2009,All genders,Not applicable,Number,18327
Albania,2008,All genders,Not applicable,Number,15653
Albania,2008,Female,Not applicable,Number,10084
Albania,2007,Female,Not applicable,Number,6754
Albania,2007,All genders,Not applicable,Number,9767
Albania,2006,All genders,Not applicable,Number,7724
Albania,2006,Female,Not applicable,Number,5547
Albania,2005,Female,Not applicable,Number,4095
Albania,2005,All genders,Not applicable,Number,5778
Albania,2004,All genders,Not applicable,Number,5844
Albania,2004,Female,Not applicable,Number,4040
Albania,2003,Female,Not applicable,Number,3766
Albania,2003,All genders,Not applicable,Number,5202
Albania,2002,All genders,Not applicable,Number,5016
Albania,2002,Female,Not applicable,Number,3477
Albania,2001,Female,Not applicable,Number,3168
Albania,2001,All genders,Not applicable,Number,4618
Albania,2000,All genders,Not applicable,Number,4735
Albania,2000,Female,Not applicable,Number,3170
Albania,1999,Female,Not applicable,Number,2612
Albania,1999,All genders,Not applicable,Number,3997
Algeria,2014,All genders,Not applicable,Number,311511
Algeria,2014,Female,Not applicable,Number,197092
Algeria,2013,Female,Not applicable,Number,158737
Algeria,2013,All genders,Not applicable,Number,255435
Algeria,2012,All genders,Not applicable,Number,257773
Algeria,2012,Female,Not applicable,Number,164956
Algeria,2011,Female,Not applicable,Number,134166
Algeria,2011,All genders,Not applicable,Number,208536
