Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Afghanistan,1993,Female,Not applicable,Percent,12.212
Afghanistan,1993,Male,Not applicable,Percent,12.21464
Afghanistan,1993,All genders,Not applicable,Percent,12.214
Afghanistan,1985,All genders,Not applicable,Percent,45.81688
Afghanistan,1985,Male,Not applicable,Percent,42.07576
Afghanistan,1985,Female,Not applicable,Percent,53.41569
Afghanistan,1984,All genders,Not applicable,Percent,41.74474
Afghanistan,1984,Male,Not applicable,Percent,39.33771
Afghanistan,1984,Female,Not applicable,Percent,46.86167
Afghanistan,1982,All genders,Not applicable,Percent,38.86122
Afghanistan,1981,Female,Not applicable,Percent,53.55707
Afghanistan,1981,All genders,Not applicable,Percent,55.43767
Afghanistan,1981,Male,Not applicable,Percent,55.86199
Afghanistan,1980,Male,Not applicable,Percent,53.41875
Afghanistan,1980,All genders,Not applicable,Percent,54.561
Afghanistan,1980,Female,Not applicable,Percent,59.47943
Afghanistan,1978,Female,Not applicable,Percent,56.01403
Afghanistan,1978,All genders,Not applicable,Percent,49.98828
Afghanistan,1978,Male,Not applicable,Percent,48.66194
Afghanistan,1977,Male,Not applicable,Percent,50.95145
Afghanistan,1977,All genders,Not applicable,Percent,52.50843
Afghanistan,1977,Female,Not applicable,Percent,59.69207
Albania,2013,Male,Not applicable,Percent,1.67375
Albania,2013,Female,Not applicable,Percent,0.85394
Albania,2013,All genders,Not applicable,Percent,1.28747
Albania,2012,All genders,Not applicable,Percent,1.33296
Albania,2012,Female,Not applicable,Percent,0.16273
Albania,2012,Male,Not applicable,Percent,2.38091
Albania,2011,Male,Not applicable,Percent,1.53118
Albania,2011,Female,Not applicable,Percent,0.85567
Albania,2011,All genders,Not applicable,Percent,1.21663
Albania,2010,All genders,Not applicable,Percent,2.13564
Albania,2010,Female,Not applicable,Percent,2.1144
Albania,2010,Male,Not applicable,Percent,2.1622
Albania,2009,Male,Not applicable,Percent,4.93433
Albania,2009,Female,Not applicable,Percent,4.55744
Albania,2009,All genders,Not applicable,Percent,4.77129
Albania,2008,All genders,Not applicable,Percent,6.2376
Albania,2008,Female,Not applicable,Percent,5.61175
Albania,2008,Male,Not applicable,Percent,6.8103
Albania,2007,Male,Not applicable,Percent,6.49504
Albania,2007,Female,Not applicable,Percent,6.63574
Albania,2007,All genders,Not applicable,Percent,6.56252
Albania,2006,All genders,Not applicable,Percent,6.06632
Albania,2006,Female,Not applicable,Percent,4.64175
Albania,2006,Male,Not applicable,Percent,7.36859
Albania,2003,Male,Not applicable,Percent,11.27497
