;;;;;;;Assault at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Assault"" means physical attack against the body of another person resulting in serious bodily injury, excluding indecent/sexual assault, threats and slapping/punching. 'Assault' leading to death should also be excluded. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;437;496;304;499;455;431;549;;;;;;;5,0;5,4;3,2;5,1;4,5;4,1;5,1
;;Kenya;;;12.715;13.186;12.089;11.479;14.189;14.078;14.366;14.534;13.674;13.949;;;;36,0;36,3;32,5;30,0;36,1;34,9;34,7;34,2;31,3;31,1
;;Mauritius;105;144;122;106;140;148;274;238;230;;;;;8,7;11,8;10,0;8,6;11,4;12,0;22,0;19,1;18,4;;;
;;Mozambique;;1.350;1.272;800;724;728;526;;;;;;;;6,6;6,0;3,7;3,2;3,2;2,2;;;;;
;;Rwanda;;;;;;2.249;1.985;2.004;2.526;3.177;3.299;;;;;;;;23,1;19,8;19,5;23,9;29,4;29,8;
;;Uganda;19.491;25.744;35.092;43.782;28.839;21.186;17.118;22.979;19.023;18.030;16.702;14.509;;74,3;94,9;125,1;151,0;96,2;68,3;53,4;69,3;55,5;50,9;45,7;38,4
;;Zimbabwe;78.464;95.581;92.510;77.525;63.803;51.247;;;;;;;;614,2;742,8;712,5;590,5;479,8;379,7;;;;;;
;Middle Africa;Cameroon*;2.998;3.056;3.140;3.136;3.482;;1.486;1.856;5.118;5.807;2.292;2.888;;17,4;17,3;17,3;16,9;18,3;;7,4;9,0;24,2;26,8;10,3;12,7
;;Sao Tome and Principe;1;1;;0;4;1;5;0;4;;;;;0,7;0,7;;0,0;2,5;0,6;3,0;0,0;2,3;;;
;Northern Africa;Algeria*;23.050;20.234;32.920;36.681;36.915;40.398;42.298;41.381;45.548;52.287;54.472;53.853;;71,2;61,7;99,0;108,7;107,7;116,0;119,5;114,8;124,1;139,7;142,6;138,3
;;Egypt;;;;65;71;120;134;156;339;;;;;;;;0,1;0,1;0,2;0,2;0,2;0,4;;;
;;Morocco;48.662;46.067;32.623;36.161;31.432;30.934;31.106;;;29.439;67.763;;;163,2;153,1;107,4;117,8;101,4;98,7;98,1;;;89,3;202,6;
;Southern Africa;Botswana;;;;;;;15.133;17.457;16.098;;;16.847;;;;;;;;753,9;852,5;770,3;;;758,9
;;Lesotho;;;;;9.337;9.957;7.332;;;;;;;;;;;477,4;504,9;368,4;;;;;
;;Swaziland;14.725;14.587;;;;;;;;;;;;1.353,5;1.332,4;;;;;;;;;;
