;;;;;;;Kidnapping at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Kidnapping” means unlawfully detaining a person or persons against their will (including through the use of force, threat, fraud or enticement) for the purpose of demanding for their liberation an illicit gain or any other economic gain or other material benefit, or in order to oblige someone to do or not to do something. “Kidnapping” excludes disputes over child custody. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;24;31;24;49;49;58;79;;;;;;;0,3;0,3;0,3;0,5;0,5;0,6;0,7
;;Kenya;;235;152;220;173;73;95;79;55;75;59;33;;;0,7;0,4;0,6;0,5;0,2;0,2;0,2;0,1;0,2;0,1;0,1
;;Mauritius;;;;;;;34;35;50;;;;;;;;;;;2,7;2,8;4,0;;;
;;Rwanda;;;;;;8;8;12;12;10;21;;;;;;;;0,1;0,1;0,1;0,1;0,1;0,2;
;;Uganda*;;;;;54;65;202;150;167;132;333;223;;;;;;0,2;0,2;0,6;0,5;0,5;0,4;0,9;0,6
;;Zimbabwe;139;198;43;90;256;222;;;;;;;;1,1;1,5;0,3;0,7;1,9;1,6;;;;;;
;Middle Africa;Cameroon;;;;;;;;;;4.495;;;;;;;;;;;;;20,8;;
;;Sao Tome and Principe;;;;;0;0;0;0;0;;;;;;;;;0,0;0,0;0,0;0,0;0,0;;;
;Northern Africa;Algeria;220;149;101;302;241;205;207;177;168;106;223;336;;0,7;0,5;0,3;0,9;0,7;0,6;0,6;0,5;0,5;0,3;0,6;0,9
;;Egypt;16;21;18;29;36;47;70;93;273;;;;;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,3;;;
;;Morocco;392;342;295;264;233;217;307;;;556;974;;;1,3;1,1;1,0;0,9;0,8;0,7;1,0;;;1,7;2,9;
;;Sudan;;;;;;616;;;;;;;;;;;;;1,8;;;;;;
;Southern Africa;Botswana;;;;;;;3;3;5;;;2;;;;;;;;0,1;0,1;0,2;;;0,1
;;Lesotho;;;;;64;40;62;;;;;;;;;;;3,3;2,0;3,1;;;;;
;;Swaziland;122;96;;;;;;;;;;;;11,2;8,8;;;;;;;;;;
;Western Africa;Cabo Verde;;;;;;;;6;7;22;28;;;;;;;;;;1,2;1,4;4,4;5,5;
;;Guinea;14;4;16;0;18;25;;;;;;;;0,2;0,0;0,2;0,0;0,2;0,2;;;;;;
;;Nigeria;;;;;277;309;703;738;;600;574;;;;;;;0,2;0,2;0,5;0,5;;0,4;0,3;
Americas;Caribbean;Bahamas;;;24;27;31;35;27;18;26;28;;;;;;7,3;8,0;9,1;10,0;7,6;5,0;7,1;7,5;;
