;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;;;;;868;679;807;;;;;;;;;;;8,6;6,5;7,5
;;Kenya;;12.778;12.200;10.255;10.404;11.012;11.972;11.986;13.797;14.111;11.455;10.042;;;37,1;34,5;28,3;27,9;28,8;30,5;29,7;33,3;33,2;26,2;22,4
;;Mauritius*;11.062;13.991;14.325;13.464;15.751;15.209;12.540;10.782;9.146;;;;;914,8;1.150,7;1.172,3;1.096,7;1.277,5;1.228,5;1.008,9;864,0;729,9;;;
;;Mozambique;;6.184;5.554;4.743;5.284;5.016;4.741;;;;;;;;30,1;26,3;21,8;23,6;21,8;20,0;;;;;
;;Uganda;23.513;35.824;55.059;69.618;47.204;32.958;27.589;23.429;21.672;20.649;18.146;17.059;;89,7;132,1;196,3;240,1;157,4;106,3;86,0;70,7;63,3;58,3;49,6;45,1
;;Zimbabwe;176.648;163.601;110.509;117.519;99.839;91.456;;;;;;;;1.382,9;1.271,4;851,1;895,2;750,8;677,7;;;;;;
;Middle Africa;Cameroon*;11.839;12.290;12.013;13.652;9.862;;12.865;21.791;20.355;24.378;13.499;14.621;;68,8;69,6;66,3;73,4;51,7;;64,1;105,8;96,4;112,6;60,8;64,2
;;Sao Tome and Principe;;;;2;0;0;5;16;20;;;;;;;;1,3;0,0;0,0;3,0;9,4;11,5;;;
;Northern Africa;Algeria*;;;;55.087;48.721;52.103;52.914;51.065;53.202;39.787;54.619;46.695;;;;;163,2;142,2;149,7;149,5;141,7;144,9;106,3;143,0;119,9
;;Egypt;30.116;32.240;34.984;47.441;50.138;55.420;40.811;77.157;87.129;;;;;41,7;43,8;46,7;62,2;64,6;70,2;50,7;94,0;104,0;;;
;;Morocco;69.789;65.299;62.094;73.572;79.175;79.947;78.397;;;96.321;107.824;;;234,1;217,0;204,4;239,7;255,3;255,0;247,2;;;292,0;322,3;
;;Sudan;;;;;;75.093;;;;;;;;;;;;;220,6;;;;;;
;Southern Africa;Botswana;;;;;;;21.343;29.716;25.291;;;29.656;;;;;;;;1.063,3;1.451,1;1.210,3;;;1.335,9
;;Lesotho;;;;;4.759;4.967;4.497;;;;;;;;;;;243,3;251,9;225,9;;;;;
;;Swaziland;21.535;20.851;;;;;;;;;;;;1.979,4;1.904,6;;;;;;;;;;
