;;;;;;;Robbery at the national level, number of police-recorded offences;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Robbery”  means the theft of property from a person, overcoming resistance by force or threat of force. Where possible, the category “Robbery” should include muggings (bag-snatching) and theft with violence, but should exclude pick pocketing and extortion.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;4.009;4.231;3.039;4.266;4.246;4.108;4.495;;;;;;;45,4;46,3;32,1;43,6;41,9;39,3;41,6
;;Kenya;;7.967;6.936;5.234;3.492;3.401;2.938;2.843;3.262;3.262;3.551;3.011;;;23,1;19,6;14,4;9,4;8,9;7,5;7,0;7,9;7,7;8,1;6,7
;;Mauritius;855;1.047;1.350;1.217;1.633;1.441;1.410;1.085;814;;;;;70,7;86,1;110,5;99,1;132,4;116,4;113,4;86,9;65,0;;;
;;Mozambique;;7.534;6.826;5.543;6.008;5.744;5.267;;;;;;;;36,7;32,3;25,5;26,9;25,0;22,3;;;;;
;;Rwanda;;;;;;1.753;2.103;2.072;1.766;2.617;2.772;;;;;;;;18,0;21,0;20,1;16,7;24,2;25,0;
;;Uganda;3.904;4.919;7.309;8.167;5.666;4.258;7.519;6.025;4.174;4.194;3.620;3.644;;14,9;18,1;26,1;28,2;18,9;13,7;23,4;18,2;12,2;11,8;9,9;9,6
;;Zimbabwe;14.028;12.666;11.146;11.654;9.274;8.796;;;;;;;;109,8;98,4;85,8;88,8;69,7;65,2;;;;;;
;Middle Africa;Cameroon*;;;;;;;10.293;17.358;16.404;16.017;7.541;7.600;;;;;;;;51,3;84,3;77,7;73,9;34,0;33,4
;;Sao Tome and Principe;;;;0;0;0;0;1;1;;;;;;;;0,0;0,0;0,0;0,0;0,6;0,6;;;
;Northern Africa;Algeria*;;;25.147;21.349;20.518;20.052;19.139;18.490;19.103;10.709;17.750;21.011;;;;75,6;63,3;59,9;57,6;54,1;51,3;52,0;28,6;46,5;54,0
;;Egypt;337;435;435;529;631;747;732;694;2.673;;;;;0,5;0,6;0,6;0,7;0,8;0,9;0,9;0,8;3,2;;;
;;Morocco;16.291;15.297;15.017;21.749;22.393;23.269;25.935;;;;14.857;;;54,6;50,8;49,4;70,9;72,2;74,2;81,8;;;;44,4;
;;Sudan;;;;;;3.017;;;;;;;;;;;;;8,9;;;;;;
;Southern Africa;Botswana;;;;;;;3.004;2.403;2.461;;;1.698;;;;;;;;149,7;117,3;117,8;;;76,5
;;Lesotho;;;;;994;1.080;1.270;;;;;;;;;;;50,8;54,8;63,8;;;;;
