;;;;;;;Burglary breaking and entering at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Burglary” means gaining unauthorised access to a part of a building/dwelling or other premises, including by use of force, with the intent to steal goods (breaking and entering). “Burglary” should include, where possible, theft from a house, appartment or other dwelling place, factory, shop or office, from a military establishment, or by using false keys. It should exclude theft from a car, from a container, from a vending machine, from a parking meter and from fenced meadow/compound.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Kenya;;2.833;2.863;2.069;1.767;1.739;1.747;1.789;1.874;1.826;1.577;1.390;;;8,2;8,1;5,7;4,7;4,5;4,4;4,4;4,5;4,3;3,6;3,1
;;Mauritius;1.643;2.057;2.488;2.352;2.650;2.466;2.046;1.641;1.295;;;;;135,9;169,2;203,6;191,6;214,9;199,2;164,6;131,5;103,3;;;
;;Mozambique;;5.537;4.886;3.968;3.642;2.882;2.459;;;;;;;;27,0;23,1;18,3;16,3;12,5;10,4;;;;;
;;Rwanda;;;;;2.270;1.872;2.055;2.053;2.233;2.365;;;;;;;;23,9;19,2;20,5;19,9;21,2;21,9;;
;;Uganda;5.716;6.977;6.672;15.445;8.795;12.236;9.703;8.685;7.753;7.340;7.095;6.649;;21,8;25,7;23,8;53,3;29,3;39,5;30,3;26,2;22,6;20,7;19,4;17,6
;;Zimbabwe;71.941;67.559;53.952;48.452;40.118;47.150;;;;;;;;563,2;525,0;415,5;369,1;301,7;349,4;;;;;;
;Middle Africa;Cameroon*;;;;;;;;;456;296;89;159;;;;;;;;;;2,2;1,4;0,4;0,7
;Northern Africa;Algeria;;;9.037;8.990;7.945;7.582;6.068;8.715;9.074;8.790;13.706;18.138;;;;27,2;26,6;23,2;21,8;17,1;24,2;24,7;23,5;35,9;46,6
;;Egypt;;;;529;631;747;732;294;2.673;;;;;;;;0,7;0,8;0,9;0,9;0,4;3,2;;;
;;Morocco;2.908;2.832;2.793;1.984;2.417;2.648;2.563;;;;8.862;;;9,8;9,4;9,2;6,5;7,8;8,4;8,1;;;;26,5;
;Southern Africa;Botswana;;;;;;;6.958;5.267;4.261;;;3.006;;;;;;;;346,6;257,2;203,9;;;135,4
;;Lesotho;;;;;4.613;4.849;4.690;;;;;;;;;;;235,9;245,9;235,6;;;;;
;;Swaziland;8.470;8.352;;;;;;;;;;;;778,5;762,9;;;;;;;;;;
;Western Africa;Cote d'Ivoire;;;;;9.253;7.858;;;;;;;;;;;;49,1;40,8;;;;;;
;;Guinea;;;;;1.160;;;;;;;;;;;;;11,4;;;;;;;
