;;;;;;;Domestic Burglary/Housebreaking at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Domestic burglary/housebreaking"" means Burglary of a house, apartment or other dwelling place.  ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Kenya;;3.120;3.210;3.080;2.304;2.483;2.638;2.318;2.573;2.871;2.460;2.259;;;9,1;9,1;8,5;6,2;6,5;6,7;5,7;6,2;6,7;5,6;5,0
;;Mauritius;;;;;;;1.190;933;714;;;;;;;;;;;95,7;74,8;57,0;;;
;;Uganda;;;2.058;2.375;2.632;9.723;7.686;7.525;6.002;5.687;5.530;5.300;;;;7,3;8,2;8,8;31,3;24,0;22,7;17,5;16,1;15,1;14,0
;Middle Africa;Cameroon*;;;;;;;;;918;398;205;98;;;;;;;;;;4,3;1,8;0,9;0,4
;;Sao Tome and Principe;;;;2;0;2;5;16;20;;;;;;;;1,3;0,0;1,2;3,0;9,4;11,5;;;
;Northern Africa;Algeria;;;;;844;906;;;;;3.274;8.868;;;;;;2,5;2,6;;;;;8,6;22,8
;;Egypt;5.673;6.586;6.156;5.836;6.414;7.272;7.982;7.468;9.257;;;;;7,9;8,9;8,2;7,7;8,3;9,2;9,9;9,1;11,0;;;
;;Morocco;6.596;6.308;6.373;7.200;7.782;7.466;8.001;;;;5.364;;;22,1;21,0;21,0;23,5;25,1;23,8;25,2;;;;16,0;
;;Sudan;;;;;;4.691;;;;;;;;;;;;;13,8;;;;;;
;Southern Africa;Botswana;;;;;;;5.759;4.363;4.088;;;2.851;;;;;;;;286,9;213,1;195,6;;;128,4
;Western Africa;Cabo Verde;;;;;;;;;;1.265;1.081;;;;;;;;;;;;252,6;213,1;
;;Guinea;;;;;533;;;;;;;;;;;;;5,2;;;;;;;
;;Nigeria;;;;;2.443;2.710;2.555;2.429;;2.968;3.160;;;;;;;1,7;1,8;1,6;1,5;;1,8;1,8;
;;Sierra Leone;;;;;1.093;1.149;;;;;;;;;;;;20,3;20,8;;;;;;
Americas;Caribbean;Bahamas;;;2.255;2.628;2.510;2.726;2.668;3.133;3.242;2.891;;;;;;684,9;782,6;733,4;782,0;752,0;868,3;884,1;776,3;;
;;Barbados;;1.438;1.448;1.383;1.178;1.389;1.375;1.580;1.441;1.548;1.502;1.187;;;526,6;528,4;502,8;426,6;500,9;493,8;565,2;513,5;549,8;531,7;418,9
;;Dominican Republic;;;;;;;;;;3.731;;3.810;;;;;;;;;;;36,7;;36,6
