;;;;;;; Theft of Private Cars at the national level, number of police-recorded offences  ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Private Cars"" means Motor Vehicles, excluding motorcycles, commercial vehicles, buses, lorries, construction and agricultural vehicles.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Mauritius;;;;;;;99;60;60;;;;;;;;;;;8,0;4,8;4,8;;;
;Middle Africa;Sao Tome and Principe;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;;;
;Northern Africa;Algeria;;;;;547;569;;;;;;;;;;;;1,6;1,6;;;;;;
;;Egypt;;;;2.482;2.649;3.273;3.311;4.203;14.267;;;;;;;;3,3;3,4;4,1;4,1;5,1;17,0;;;
;;Morocco;1.213;1.071;1.060;1.362;1.610;1.347;1.283;;;;283;;;4,1;3,6;3,5;4,4;5,2;4,3;4,0;;;;0,8;
;;Sudan;;;;;;704;;;;;;;;;;;;;2,1;;;;;;
;Western Africa;Cote d'Ivoire;;;;;859;926;;;;;;;;;;;;4,6;4,8;;;;;;
;;Guinea;;;;;37;49;;;;;;;;;;;;0,4;0,5;;;;;;
Americas;Caribbean;Bahamas;;;;;;;;1.116;1.197;1.078;;;;;;;;;;;309,3;326,4;289,5;;
;;Barbados;;;;;97;77;92;110;31;68;59;92;;;;;;35,1;27,8;33,0;39,3;11,0;24,1;20,9;32,5
;;Dominican Republic;;;;;;;;;;1.744;;1.287;;;;;;;;;;;17,2;;12,4
;;Grenada;;;0;0;0;0;0;0;0;0;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
;;Trinidad and Tobago;;;965;1.203;1.387;1.339;1.387;1.127;724;825;819;598;;;;74,4;92,3;105,9;101,8;104,9;84,9;54,2;61,5;60,7;44,1
;Central America;El Salvador;;;1.471;933;1.146;950;892;457;859;605;723;961;;;;24,7;15,6;19,1;15,8;14,8;7,6;14,2;10,0;11,9;15,7
;;Guatemala;;1.453;1.272;1.086;1.102;1.207;1.439;1.570;1.486;988;;;;;11,3;9,6;8,1;8,0;8,6;10,0;10,7;9,9;6,4;;
;;Panama;;;;;;;;;;;0;;;;;;;;;;;;;0,0;
;Northern America;Bermuda;;;;;;;31;48;16;8;26;;;;;;;;;48,2;75,1;25,2;12,7;41,4;
;;Canada;98.039;94.605;89.065;87.538;78.512;65.586;54.534;45.878;;;;;;310,3;296,4;276,1;268,4;238,0;196,6;161,6;134,4;;;;
