;;;;;;; Motor Vehicle Theft at the national level, number of police-recorded offences  ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Motor Vehicle Theft”means the removal of a motor vehicle without the consent of the owner of the vehicle. “Motor Vehicles” includes all land vehicles with an engine that run on the road, including cars, motorcycles, buses, lorries, construction and agricultural vehicles.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Kenya;;798;654;695;557;607;903;803;1.269;1.199;1.157;1.239;;;2,3;1,9;1,9;1,5;1,6;2,3;2,0;3,1;2,8;2,6;2,8
;;Mauritius;988;1.105;993;1.005;971;974;840;716;504;;;;;81,7;90,9;81,3;81,9;78,8;78,7;67,6;57,4;40,2;;;
;;Uganda;837;581;1.641;1.206;954;1.172;1.042;1.121;495;926;623;641;;3,2;2,1;5,9;4,2;3,2;3,8;3,2;3,4;1,4;2,6;1,7;1,7
;;Zimbabwe;1.051;1.096;650;533;391;444;;;;;;;;8,2;8,5;5,0;4,1;2,9;3,3;;;;;;
;Middle Africa;Cameroon*;;;;428;316;;;;639;812;883;1.114;;;;;2,3;1,7;;;;3,0;3,7;4,0;4,9
;;Sao Tome and Principe;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;;;
;Northern Africa;Algeria*;1.250;1.096;2.624;2.035;1.926;2.190;2.482;2.247;2.804;3.778;4.219;5.033;;3,9;3,3;7,9;6,0;5,6;6,3;7,0;6,2;7,6;10,1;11,0;12,9
;;Egypt;1.994;2.784;3.047;3.145;3.533;4.113;3.914;4.979;20.231;;;;;2,8;3,8;4,1;4,1;4,6;5,2;4,9;6,1;24,1;;;
;;Morocco;6.978;7.640;7.506;8.200;8.668;8.306;8.282;;;10.221;3.072;;;23,4;25,4;24,7;26,7;28,0;26,5;26,1;;;31,0;9,2;
;Southern Africa;Botswana;;;;;;;252;236;327;;;317;;;;;;;;12,6;11,5;15,6;;;14,3
;;Lesotho;;;;;597;431;437;;;;;;;;;;;30,5;21,9;22,0;;;;;
;;Swaziland;341;307;;;;;;;;;;;;31,3;28,0;;;;;;;;;;
;Western Africa;Cabo Verde;;;;;;;;;;71;92;;;;;;;;;;;;14,2;18,1;
;;Cote d'Ivoire;;;;;2.898;1.593;;;;;;;;;;;;15,4;8,3;;;;;;
;;Guinea;;;;;37;49;;;;;;;;;;;;0,4;0,5;;;;;;
;;Nigeria;;;;;2.137;3.433;1.265;1.826;;1.239;2.043;;;;;;;1,5;2,3;0,8;1,1;;0,7;1,2;
