;;;;;;;Total Sexual Violence at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: Total ""Sexual violence” means rape and sexual assault, including Sexual Offences against Children. ";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Burundi;;;;;;599;700;699;664;;;1.265;;;;;;;6,8;7,7;7,4;6,8;;;11,7
;;Kenya;;2.880;2.590;2.965;3.051;2.719;4.068;4.817;4.703;4.806;4.779;5.184;;;8,4;7,3;8,2;8,2;7,1;10,4;11,9;11,4;11,3;10,9;11,6
;;Mauritius;298;297;314;420;384;413;442;432;466;;;;;24,6;24,4;25,7;34,2;31,1;33,4;35,6;34,6;37,2;;;
;;Mozambique;;834;789;639;629;640;613;;;;;;;;4,1;3,7;2,9;2,8;2,8;2,6;;;;;
;;Rwanda;;;;;;;;;;;1.734;;;;;;;;;;;;;15,7;
;;Uganda;;;14.101;17.046;18.844;10.365;8.646;8.645;8.633;9.009;10.974;13.676;;;;50,3;58,8;62,8;33,4;27,0;26,1;25,2;25,4;30,0;36,2
;Middle Africa;Cameroon*;;;;;;;1.369;2.053;2.383;1.994;673;703;;;;;;;;6,8;10,0;11,3;9,2;3,0;3,1
;;Sao Tome and Principe;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;;;
;Northern Africa;Algeria*;;;;3.506;3.905;3.938;4.231;3.795;3.887;;5.596;3.017;;;;;10,4;11,4;11,3;12,0;10,5;10,6;;14,7;7,7
;;Egypt;;;;154;169;194;199;171;114;;;;;;;;0,2;0,2;0,2;0,2;0,2;0,1;;;
;;Morocco;827;594;929;2.243;2.531;2.559;3.252;;;2.933;4.327;;;2,8;2,0;3,1;7,3;8,2;8,2;10,3;;;8,9;12,9;
;Southern Africa;Botswana;;;;;;;;;;;;2.750;;;;;;;;;;;;;123,9
;Western Africa;Cabo Verde;;;;;;;;120;110;251;208;;;;;;;;;;24,5;22,2;50,1;41,0;
;;Cote d'Ivoire;;;;;858;716;;;;;;;;;;;;4,5;3,7;;;;;;
;;Guinea;;;;;33;;;;;;;;;;;;;0,3;;;;;;;
;;Nigeria;;;;;1.545;1.359;1.952;1.747;;1.410;1.788;;;;;;;1,0;0,9;1,3;1,1;;0,8;1,0;
;;Sierra Leone;;;;;695;623;;;;;;;;;;;;12,9;11,3;;;;;;
Americas;Caribbean;Bahamas;;;439;507;590;557;589;309;238;299;;;;;;133,3;151,0;172,4;159,8;166,0;85,6;64,9;80,3;;
