;;;;;;;Total Sexual Offences against Children at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Sexual offences against children"" means crimes of a sexual nature committed against children (according to the age defined in the ""Metadata"" section below). These crimes should include child pornography offences, procuring a child for prostitution, statutory rape of a person below the age of consent and other offences related to the sexual exploitation of children.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 children aged 17 or under;;;;;;;;;;;
Region;Sub-region;Country/territory;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Africa;Eastern Africa;Kenya;;1.233;1.067;1.445;1.984;1.849;2.621;3.273;3.191;3.387;3.286;3.685;;;7,1;6,0;8,0;10,7;9,8;13,6;16,5;15,7;16,3;15,5;16,9
;;Mauritius;;;;;;;256;297;289;;;;;;;;;;;74,5;88,0;87,7;;;
;;Rwanda;;;;;;2.042;1.622;1.659;1.782;1.647;1.469;;;;;;;;43,0;33,3;33,2;34,8;31,4;27,5;
;;Uganda;;;12.545;15.385;12.230;8.635;7.360;7.564;7.690;8.076;9.598;12.077;;;;79,5;94,3;72,5;49,6;41,0;40,8;40,3;41,0;47,4;57,9
;Middle Africa;Cameroon;333;126;117;131;268;177;;;;;;;;3,7;1,4;1,3;1,4;2,8;1,8;;;;;;
;;Sao Tome and Principe;;;;1;0;4;2;2;5;;;;;;;;1,3;0,0;4,9;2,4;2,4;5,8;;;
;Northern Africa;Algeria;;;;1.474;1.546;1.637;1.660;1.573;1.728;1.647;2.365;1.792;;;;;12,4;13,1;13,8;14,0;13,2;14,3;13,4;18,9;14,0
;;Egypt;109;81;113;88;67;100;90;73;57;;;;;0,4;0,3;0,4;0,3;0,2;0,3;0,3;0,2;0,2;;;
;;Morocco;395;475;1.993;1.554;1.356;1.945;1.521;;;2.424;999;;;3,5;4,2;17,8;14,0;12,3;17,7;13,9;;;22,1;9,1;
;Southern Africa;Botswana;;;;;;;487;518;529;;;535;;;;;;;;60,6;64,0;64,7;;;63,2
;Western Africa;Cabo Verde;;;;;;;;65;89;118;100;;;;;;;;;;33,8;46,7;62,5;53,3;
;;Guinea;;;;;90;;;;;;;;;;;;;1,8;;;;;;;
;;Nigeria;;;;;;;;;;;288;;;;;;;;;;;;;0,3;
;;Sierra Leone;;;;;695;623;;;;;;;;;;;;25,5;22,4;;;;;;
Americas;Caribbean;Bahamas;;;202;229;268;260;273;267;176;111;;;;;;196,8;222,6;260,2;253,0;267,6;264,7;174,5;110,7;;
;;Barbados;;35;25;31;40;30;28;21;19;28;71;38;;;50,9;36,6;45,6;59,0;44,4;41,6;31,2;28,5;42,2;107,2;57,4
